,en,ta
0,"Just hours before the incident, Kurdish nationalist leader and Iraqi president, Jalal Talibani, had welcomed the US president on his last visit to Iraq as a man ""who helped us liberate our country and to reach this day in which we have democracy, human rights and prosperity gradually in our country.""
","இந்த நிகழ்விற்கு சில மணி நேரம் முன்பு குர்திஷ் தேசியவாத தலைவரும் ஈராக்கிய ஜனாதிபதியுமான ஜலால் டாலிபானி ஈராக்கிற்கு கடைசி முறையாக வரும் அமெரிக்க ஜனாதிபதியை வரவேற்று, ""நம் நாட்டை நமக்கு விடுவிக்க உதவிய மனிதர், இன்று நாம் ஜனநாயகம், மனித உரிமைகள் மற்றும் வளமையை படிப்படியாக நம் நாட்டில் பெறுவதற்கு உதவியவர்"" என்று பாராட்டினார்.
"
1,"Confronting a worsening foreign exchange crisis, the Sri Lankan government is seeking a $US1.9 billion loan from the International Monetary Fund (IMF) to bail out the country.
","மோசமடைந்துவரும் அந்நிய செலாவனி நெருக்கடியை எதிர்கொண்டுள்ள இலங்கை அரசாங்கம், நாட்டை பிணையெடுப்பதற்காக சர்வதேச நாணய நிதியத்திடம் இருந்து 1.9 பில்லியன் அமெரிக்க டொலர் கடனை எதிர்பார்க்கிறது.
"
2,"A room was arranged for him at Sun Towers Lodge.
","அங்குள்ள சன் டவர்ஸ் லாட்ஜில் அவருக்கு அறை ஏற்பாடாகியிருந்தது.
"
3,"The kidnapping and threatened execution of 63-year-old Australian citizen and US resident Douglas Wood is a further expression of the living hell that Iraq has become under the US-led occupation.
","63 வயது ஆஸ்திரேலியக் குடிமகனும் அமெரிக்காவில் வாழ்வபவருமான டக்லஸ் வூட் கடத்தப்பட்டு கொலை அச்சுறுத்தலுக்கு உட்பட்டிருப்பது, அமெரிக்க ஆக்கிரமிப்பின் கீழ் ஈராக் எவ்வாறு உயிர்த்த நரகமாக உள்ளது என்பதற்கு மற்றொரு வெளிப்பாடாக இருக்கிறது.
"
4,"And Hilkiah, and they that the king had appointed, went to Huldah the prophetess, the wife of Shallum the son of Tikvath, the son of Hasrah, keeper of the wardrobe; (now she dwelled in Jerusalem in the college:) and they spoke to her to that effect.
","அப்பொழுது இல்க்கியாவும் ராஜா அனுப்பின மற்றவர்களும் அஸ்ராவின் குமாரனாகிய திக்வாதின் மகனான சல்லூம் என்னும் வஸ்திரசாலை விசாரிப்புக்காரன் மனைவியாகிய உல்தாள் என்னும் தீர்க்கதரிசியானவளிடத்திற்குப் போனார்கள்; அவள் எருசலேமில் இரண்டாம் வகுப்பிலே குடியிருந்தாள்; அவளோடே அதைப்பற்றிப் பேசினார்கள்.
"
5,"The Fire Control Project was drawn up in 2004 and was due for completion by 2007 at a cost of Â£100 million.
","தீக்கட்டுப்பாட்டுத் திட்டம் 2004ல் தொடங்கி 2007ல் 100 மில்லியன் பவுண்டுகள் செலவில் முடிக்கப்பட்டிருக்கும்.
"
6,"Following this, the Tamilnadu police have instructed theatre managements not to permit bags into theatres.
","இந்த குண்டிவெடிப்பைத் தொடர்ந்து, திரையரங்கினுள் பைகளை அனுமதிக்காதீர்கள் என தமிழக காவல்துறை திரையரங்கு உரிமையாளர்களை எச்சரித்துள்ளது.
"
7,"Asbos have been issued against all age groups.
","எல்லா வயது வரம்புகளை சார்ந்தவர்களுக்கும், இத்தகைய நோட்டீஸ்கள் தரப்பட்டுள்ளன.
"
8,"He made almost nothing from his books, donating his earnings to revolutionary causes. <img src=""/images/2009jun/j08-pain-buri-480.jpg"" border=""0"" alt=""Burial site"" width=""480"" height=""409"" />Paine's burial site in New Rochelle, New York
","அவரின் புத்தகங்களில் இருந்தும் அவர் பெரிதாக ஒன்றும் பெறவில்லை, புரட்சிகர காரணங்களுக்காக அவர் அவரின் சம்பாத்தியங்களை அளித்துவிட்டார்.
"
9,"Bassam Khoury, the PA's economy minister, resigned and Prime Minister Salam Fayyad felt obliged to say, 'We mustn't give up the opportunity to go after those who committed war crimes during Israel's attack on the Gaza Strip.'
","பாலஸ்தீன ஆணையத்தின் பொருளாதார மந்திர பாஸ்ஸம் கெளரி, இராஜினாமா செய்தார். ""காஜா பகுதியின் மீது இஸ்ரேல் தாக்குதல் நடத்திய போது, அந்த யுத்த குற்றங்களில் சம்பந்தப்பட்டவர்கள் தப்பிக்க நாம் சந்தர்ப்பம் அளிக்க கூடாது"" என்று சொல்ல பிரதம மந்திரி சலாம் பையத்தும் கடமைப்பட்டிருந்தார்.
"
10,"Wolfowitz indicated that one major problem facing the US in Afghanistan was to find a country willing to assume command of ISAF in December, when Turkey completes its six months in that role.
","துருக்கி தனது ஆறாவது மாதத்தை நிறைவேற்றும் அதேவேளை, டிசம்பரில் சர்வதேச பாதுகாப்பு உதவிப் படைக்கு கட்டளை வழங்குவதற்காக ஒரு நாட்டைத் தெரிவு செய்வதே அமெரிக்கா ஆப்கானிஸ்தானில் முகம் கொடுக்கும் பாரிய பிரச்சினையாகும், என வொல்ஃபோவிட்ஸ் குறிப்பிட்டார்.
"
